name,summary
Hilton San Francisco Financial District,"Hilton San Francisco Financial District is one of the better Hiltons in the city. The hotel is located in the heart of the city's financial district. The location is great, with Chinatown, North Beach, and historic Portsmouth Square nearby. The rooms were a good size and the wrap around desk was great. The staff of this hotel were consummate professionals. The hotel was immaculate, and our conference went off without a hitch thanks to the staff. The food was far above average for conference food, too!  - 27th Floor = Stunning views. - The Good, The Bad, The Ugly - Great San Francisco Hotel Option - Decent Stay with Few Amenities - Solid overall property for a general stay - Dirty and unsafe - Stain on my first trip to San Francisco."
The Donatello,"Great location, super close to Union Square. Rooms are absolutely huge and feel so spacious. Bed is extremely large and sup sup. Hotel room was clean, spacious and comfortable. Only negative, if I had to name one, was the shower water pressure. The staff was always friendly and willing to help. The jazz music in the - Beautiful hotel. The Donatello is a 15 story full service old style hotel near union square. Rooms are incredibly spacious - big couch and coffee table, mini bar area, desk. There is a fitness/jacuzzi/coffee bar on the 15th floor which has complimentary coffee and a little area to read the paper."
Cow Hollow Inn and Suites,"Reccommended - Clean and Comfortable - Nice hotel in great location - Very Noisy - Large suite clean and comfortable - Average - Vacation - Bring Ear Muffs. Close by tourist sites, food, coffee and local shopping/boutiques. Recommend getting a Muni day pass where you can travel on buses, trams, cable cars all day. Hotel is convenient to public transportation and close to tourist sites. Staff were always friendly and made us feel welcome. Rooms were spacious, comfortable bed & pillows and nice shower. Garage parking included with stay! Accommodations are nice. Soft bed, comfortable room, window view, I was hoping the hotel had a bathtub. Cow Hollow is a very good economic hotel. Rooms were clean and the bed was comfy. The location is great. The staff is friendly and willing to meet your demands. The only issue I had was one night (Saturday night) with the parking. It was a weekend and we just returned at night after sightseeing. The Cow Hollow is only 10 min away from the hospital with free self parking. The staff was very professional, efficient and friendly. The rooms were clean, comfortable and well-appointed. The location is convenient and centrally located for access to the Golden Gate Bridge, Marin Headlands, Presidio and most of San Francisco's more popular tourist destinations."
San Remo Hotel,"More a hostel than a hotel. Still no refund after 7 months! - Lack of communication is disgraceful. Ignoring all phone calls/emails - Communication difficulty. Value for money in excellent location. - Quaint and convenient! - Old time hotel close to the wharf and cable car. The San Remo Hotel is located in a quiet neighbourhood near Fishermans Wharf and the cable car. The rooms are small and the bathrooms are shared, but this was never a problem. The hotel provides robes and ear plugs which were nice to have. There is a quite time from 10pm to 6am that was respected by most of the clients. San Remo is a unique gem with rich history. The rooms were small, taking out the wardrobe would be a huge help. The location is great and we enjoyed walking to Lombard St, Ghirardelli, Fisherman’s Wharf, and Pier 39. The San Remo Hotel is located in San Francisco's Fishermans Wharf area. The hotel is set above the oldest Italian restaurant in America, it’s a prime location for a stay. The rooms are all in close quarters, and the hall ways are very noisy. San Remo feels like a museum once you walk in, with the walls covered in history. Staff were always around making sure areas were clean and presentable. Fresh brew coffee for free and the massage chairs were a nice touch. Highly recommend and I’d stay here again."
Hyatt Centric Fisherman's Wharf San Francisco,"The hotel is walking distance to the Wharf, Lombard Street, and many other locations. It has very safe underground valet parking. Bikes are provided as part of the stay. The room was spotless and kept dust free over the entire two weeks we were there. The hotel is close to Powell Street Cable Car end point, Fisherman's Wharf, and other San Francisco tourist attractions. Included breakfast buffet made it convenient to eat and then start the day's activities. Bikes scooters onsite. Location to the waterfront couldn't be better, but was a little nervous outside due to the amount of homeless folks sleeping on the sidewalks. The hotel is located within a block of the F Street Trolley and three blocks from Fisherman's Wharf. No Top Sheets on the Bed - Hotel policy. The staff at the restaurant was outright rude and the service was non existent. The bathroom was also leaking, the breakfast was charged incorrectly... in short, everything was terrible. The Hyatt Centric Hotel is centrally located near Fisherman's Wharf. The rooms were very clean and the staff did a great job making sure we had enough towels and essentials for our room. The breakfast was excellent, and service was good, but the pantry was absurdly priced. Hotel is close to Fishermans Wharf, Pier 39 and the Golden Gate Bridge. Elevators are a little wacky with their setup, but you just have to deal with that. The room was tidy but a little outdated and the whole hotel looks in need of a refresh."
Grant Plaza Hotel,"The Grant Plaza Hotel is located in the heart of Union Square. It's just steps away from some of the best shopping, dining, and entertainment options in the city. The hotel itself has a quaint, old-school charm that adds to the overall experience. While the bathrooms may be a bit small, they're perfectly functional. The rooms at this hotel are small, but for the low rate, I can't complain much. Despite the size, the room was clean and well-maintained, and the bed was comfortable. Overall, if you're looking for a budget-friendly option and don't mind small rooms, this hotel is a great choice. The rooms were clean and comfortable, and the staff were friendly and helpful. The hotel also had a great breakfast buffet that was included in the room rate. The rate here is much cheaper than anywhere else with similar amenities. The service was decent, not that I used a lot of it, but the location was perfect. The Grant Plaza Hotel is in the heart of Chinatown, on a slope. It is only a 10-minute walk from Montgomery station, although if you're arriving from the airport be prepared to drag your bags uphill. The hotel is smack dab in the middle of Chinatown in a rather busy area. The room itself was pretty standard, but the bathroom and shower were excellent. There is a parking garage about 5 min walking distance away that you can reserve through the front desk at a reduced rate. An extra charge of 18 dollars will be charged for placing luggage in advance, the two beds on the order will be changed to one, and the extra bed service will be charge separately."
Parc 55 San Francisco - a Hilton Hotel,"Parc 55 is located in downtown San Francisco. The hotel is located just blocks away from great shopping. The complimentary food options and bar service makes the hotel an excellent choice. The free wifi was very poor. The room was okay and did have a view but otherwise I wouldn’t call it deluxe. The hotel is in an ideal location, close to shopping, entertainment and dining. The front desk agent Christina Campbell went above and beyond to ensure our stay was perfect. The food in the hotel was yes, expensive. The hotel is close to ALLLLL the shopping and I do mean all the shopping. The Parc 55 is located close to the Cable Car turnaround, theaters, restaurants, and shopping in Union Square. Our room was spacious, comfortable, and quiet, with a spectacular view. The fitness facility is extremely well-equipped, the on-site restaurants are top-notch, plus the staff is attentive, friendly, and thoughtfully friendly."
Stanyan Park Hotel,"The Stanyan is a very convenient hotel by UCSF. Its also by Haight Ashbury district. They have a wonderful free continental breakfast and happy hour which was really nice and great selection. The hotel is an old SF hotel and a bit noisy but worth it for the reasons above. Stanyan Park Hotel is close by UCSF Medical Center and across from Golden Gate Park. Although rooms are smallish, they are comfortable. Breakfast (included) is excellent. Large quality choices  I would stay again - Rats!!!!My family checked in new years eve. after the new years fireworks at the bay we found rats had eaten the complementry chocolates left by housekeeping and laid droppings in our beds. We had to find new accomodations at 2am on new years day. The hotel staff didnt even offer to help find a new hotel, and there reaction told us they knew about the rats. It took 30 minutes to even get my card refunded The hotel was last renovated in the early 80s, and it shows. The carpets are badly stained, the wallpaper is pealing off, and the rooms smell strongly of mildew. The staff is amazing and way more patient than they have to be. The location a block from the Haight and right at the edge of Golden Gate Park was fantastic. The location of the hotel is amazing. The price is extremely competitive. Staff are very helpful and friendly. The room and hotel itself is very clean. The only drawback is that there is no heating or AC. It can get cold if you're not used to the climate there (but I'm from TX). Stanyan Park is right next to Golden Gate Park which is a wonderful stroll to the beach. The continental breakfasts are tasty but the quality and taste of their coffee could use improvement. The room was adequate and the mattress comfortable. The deodorant for cleaning has a strong over-powering smell. Stanyan Park Hotel is a charming historic hotel that has been lovingly restored and updated. The hotel is directly across the street from Golden Gate Park. The staff are friendly and helpful (even to supercilious guests - I saw one or two that made me cringe) The hotel offers tea time in mid afternoon and a wine and cheese time in early evening. The Stanyan is listed on the National Historical Register. It is a great place to stay. It's not fancy but it is clean and comfortable. Staff is great. Afternoon tea and wine and cheese reception is a nice touch. I will definitely stay here again if I'm in the San Francisco area. The hotel is situated in good neighbourhood, with bus and street car a short walk away. Staff at reception were very helpful and gave good advice and direction. The Golden Gate Park is right across the road and this is an amazing place to walk or cycle. Would definitely recommend this hotel to others. - 6 day stay."
Park Grand London Hyde Park,"The staff are amazing  they are kind and helpful,Thank  you Mubashir,jeana,Stella and Mudassir, Stella was so kind, well done guys. Hotel is close to Paddington station, just a 5 min walk. Streets are cozy and quiet. The Park Grand London Hyde Park Hotel is located near Paddington Station. The hotel has a full English and buffet style breakfast. The room service is excellent and the condition of the room furniture is great too. The only issue was the ac as it was too hot. The staff are so friendly and have great communication skills. The hotel is convenient to Paddington Station which is great. The basement room was too small to open our suitcase and be able to move in the room. The last comment is the sound rodents moving through the walls/ceiling. Rooms are decently sized for London standards with great cleaning staff. Location is a plus, near the park, walkway to Paddington station. The room are small but absolutely quite. The breakfast was fresh and good. Not too much options but all with good flavor. All staff was very kind and receptive. Special retreats for Mubashir that helped a lot with food bookings. The rooms are very small, and old, the atmosphere smells bad at the hotel except for the lobby. Don't pay for the breakfast, it’s so small and it doesn’t look delicious, compared to the price you pay for it. The best of this hotel stands in his own personal who are highly trained and very welcoming."
Park Grand Paddington Court,"Park grand Paddington is a great hotel with family feeling. The room was a great size and everything was clean. The location is not far from the underground and other transportation. The staff are very friendly especially Kazi,Colston,Shuja and Maisum. The stay was very comfortable. Park Grand Paddington is a great place to stay in London. The rooms were spotless and bed very comfortable. Close to major train stations and bus stops. Not suitable for families. The staff were friendly and welcoming. The hotel is ok! The rooms are clean but a little bit small. The 4 pillows were amazing and I slept good. The reception staff was friendly as well. The hotel was close to paddington station, hyde park and other stores. The next tube station is just a short 5 minute walk away with direct access to central London. The hotel did not live to our expectations of a 4-star hotel. The room was cold and uninviting. The walls in the bathroom constantly had some condensate on leaking towards the floor. The shelf under the basin was full of water. Staff are very friendly, extremely helpful. Location is excellent, close to train/tube. Price is good and competitive. Location was very good, near to the Paddington Station,  very near to High Park also. Staff were extremely friendly. The price was worth it and everything is so close by. A great stopover for me arriving from and departing for Australia. Would definitely book again when I'm next in London."
Travelodge London City hotel,"All good in Aldgate have been using this Travelodge for around 5 years with my current job. It is consistently well turned out, clean, has a good range of meal choices, and with professional staff. Special shout out to Sahel in front of house who is unfailingly ‘on it’ for service. The hotel is in central London and is close to Aldgate tube station. Great location, great staff and great food. Great value for money for a central London hotel. One of the nicer Travelodges I’ve stayed in with lovely staff but was only made aware of substantial construction works after making non refundable booking. The hotel has been recently rennovated and feels modern. The location is more than convenient for all the major attractions, with Liverpool Street and Aldgate East tube stations just a short walk away. First room was very dirty unfortunately. Stained carpet, also transferred hairs onto the bed. Hairs in corners in the bathroom. Even at 30 degrees it was still pretty cold. Great location and excellent service. Room is as I expected for a Travelodge - Comfy and reasonably priced. Great location for both business and wider London excursions. Good value for money. Great value. Good location and great service. Great room. Great service. The Whitechapel Gallery, the Cable Street mural and Old Spitalfields Market are all well worth visiting. The location is very good - we walked along the river to/from the Playhouse Theatre, and enjoyed seeing all the illuminated buildings on the south side."
The Resident Covent Garden,"The Resident Covent Garden is located in the heart of London's theatre district. The hotel is located close to tube stations, restaurants and shops. Staff at the hotel are friendly and welcoming, and the hotel is spotlessly clean throughout. The food is great, and you can choose anything from quick takeaway bites to Michelin-starred establishments. The Resident is a great location to explore central London. The rooms were super clean with modern decor. The staff at the hotel were super helpful and the rooms were great. 100% recommend this hotel for a great stay in London. - A good recommended place to stay. The Resident is located in the heart of Covent Garden, London. The hotel has a great location near Tibe station and piazza. The rooms are very clean and the staff are friendly. The views from the bay window of the hotel are spectacular. The room is located close to restaurants, theaters, walking distance to mai attractions and historical places. Luxury and comfort are realised without fuss or pretentiousness. The staff are exceptional. The room was small but very clean, updated, and comfortable for two (mother/daughter). The kitchenette is a great amenity. The location is just a short walk to some big attractions and close to the underground. The Resident Covent Garden is a chic and convenient hotel in central London. The contemporary design and chic decor throughout the hotel created a stylish and welcoming atmosphere. The staff were incredibly friendly and helpful, always ready to offer recommendations and assist with any requests. The room was as described and had everything we needed, including the larder order we placed. The Residence at Covent Gardens is a small, cozy hotel in central London. The staff at the front desk were consistently friendly and helpful. The room was spacious and spotless with the cutest balcony ever. The location is great, convenient to Covent Garden, Trafalgar Square, theaters, and the Tube. The hotel stored our luggage so we could travel to Scotland lightly. Upon our return, our room was ready and our stored luggage was -    - ready to be taken back to the hotel. The hotel was located in the heart of Glasgow and was a short walk from the city centre."
Travelodge London Kings Cross Royal Scot,"Good for value very well located : by walk 10’ from St Pancras and 30’ away from main touristic locations. Large rooms Average cleanliness which can be improved but it is correct. Be aware that room cleaning is not provided during stay under 7 days. The room was beyond disgusting. Blood stained carpets, the room smelt of awful mold, couldn’t open the windows as it’s too noises, bathroom was full of dust, even coming out the shower head. The whole place has a terrible smell too. Please reconsider to somewhere else if you stay here. Hotel is close to King's Cross station and has a convenient location. Staff were lovely and bubbly and the rooms were clean and tidy. Breakfast had a good selection and was hot but some rooms could do with a bit of a tidy but can’t complain for the price and location. The ubicación was great because is close to the center of London. Not too far from the tube station, and not very cheap. Bathroom not cleaned properly - mold and rust around the bath fittings. No hand-wash in the dispenser. The bar is serving breakfast and dinner as well as multiple drinks and snacks. The bathroom was dirty, the bathtub had black stains. There were not enough hairdryers and when we asked why none were available as the website specified we were told that ""hairdryers being available doens't mean you will get one"" The shower was a lukewarm trickle, the flat pillows insufficient for a good night sleep. The car park at £20 for 24hrs has limited space (we were lucky) and is very dirty with rubbish. The rooms are very basic, but the staff are so friendly, especially Jackie on reception. The rooms are not sound deadened or sound proof, as the neighbouring residents were drunk and noisy waking us up a number of times during our stay. They don't clean the room or bathroom in 6 days. If you use Apple double charging plugs they do not fit room electric sockets. minutes walk from Kings Cross Station. We checked in early and checked out late for only an extra £20! We will be back :) -  We will be  back :) – We checked out early for only a extra £ 20! We checked out  for only  £20. We will  be back. – "
Canopy by Hilton London City,"Great central location, near a tube station with multiple great restaurants dotted within easy walking distance, would 100% recommend this hotel to tourists and business travelers. Great food from room service was tasty and made  fresh. The cocktails were impressive as well. The bed was the most comfortable that we ever tried!! - Excellent stay. Hilton Algate is located just 2 minutes from an Underground station and plenty of restaurants nearby. The decor is Asian-inspired, the staff were very friendly and helpful. The rooms were spotless, but the hallway carpet on our floor had lots of lint and could have benefited from a daily vacuuming. Hotel’s location is near the Underground, so it is very convenient. It is also walking distance to Spitalfields, and many shops and restaurants. Staff is so helpful and friendly, especially front desk Rahmeer, bartender Amin, and concierge Abdul. Rooms are clean, modern, bed is comfortable, love their pillows. The hotel is convenient to the Tower of London, St. Paul's and St. James' Park. The bar and cafe on the ground floor offers a huge variety of drinks and snacks and all of them are delicious. The King room was spacious, immaculate and had an extra nice touch of some balloons. The Canopy by Hilton is a modern, stylish hotel with spacious rooms, located just two minutes' walk from Aldgate bus and tube stations. The hotel itself is very clean and well appointed with each room having access to a water and ice machine on each room. The entire staff is very helpful and friendly, always with a big smile on their faces. The Canopy by Hilton, London City is one of the best hotels in London. The hotel is just 3 minutes walk from Aldgate tube station. The location is perfect for a weekend stay in London and is my first-choice whenever I visit - Canopy review. Canopy London is located near Aldgate tube station. The hotel has a rooftop bar, Florratica, which is decorated so stylishly. Breakfast is mainly a 'help yourself' buffet, including continental options, pastries and full English. The staff are extremely welcoming especially Abdul from Concierge."
The Montcalm Royal London House,"Fantastic stay at the Montcalm. The staff were so friendly and couldn't do enough for us. The Guest Experience Manager, January, was great and made sure that we had a lovely time. The exec lounge evening food offering definitely pales in comparison to some hotels, but they make up for in attentive service, excellent wine and fab onsite restaurant. Montcalm Royal House is located in the heart of London's financial district. The hotel is one of the most popular hotels in the city. The spa is a must for anyone looking to stay in the capital. The restaurant and food is excellent and the service is top notch. The hotel is nice and clean, the staff is friendly, helpful and welcoming especially Claudia, she made my stay at the hotel 10 times better. Room wise it’s one of the best hotel rooms I’ve stayed in. Can’t fault anything at all!    Stayed over for the night for the works Christmas party which was close by in Shoreditch. We were very disappointed at the service of the hotel. No extra towels or slippers were provided to go to the pool area. No hot towel rail or laundry lines in the bathroom provide for wet swimming costumes. We could not order any meals/room service without a QR code and the QR code we had was not working in our room. Montcalm Royal is one of London's most exclusive hotels. The Aviary bar at the top of the hotel gave us a breath-taking view over London at night- unforgettable. The spa is another top notch addition, clean and comforting. The hotel room was decorated without me lifting a finger. The Montcalm is a great location for a night out in east London. The rooms are spacious and well equipped. The spa is beautiful and the staff are always smiling. The staff were brilliant and made our stay outstanding. The room exceeded expectations from the Egyptian cotton linen and fluffy pillows. on for our meals. Great experience. Best time in London -  Best time of the year. Great food. Great service. Great prices. Great people. Great atmosphere. Great views. Great night out. Great hotel. Great restaurant. Great time in the city."
Park Grand London Kensington,"Not a four star really wished we had booked somewhere else. The room itself was dirty stains on the carpet and doors. There was a stench of smoke when we walked in and the carpets were torn as well. Breakfast adequate and staff polite and pleasant. Not a too quality but think better level up from a Premier Inn. Park Grand London is located in a quiet area just off a main road. Service was excellent and the breakfast was excellent. The hotel does not allow a bag drop, so we had to take our cases around London before formal check-in. The carpets in the hallways showed signs of age and had bleach and other marks. Park Grand Hotel is located in Kensington, central London. The hotel is only 2 blocks from Alfred Hitchcock's former residence. The restaurant had the best Indian food I have ever experienced. The rooms are clean and good, so when we go back to London we will certainly book this hotel again. Park Grand Hotel is located near Earls Court station. The hotel is in a great location for a London stay. The room is run down and the hall ways are dark and smell musky. A premier inn is much much better value! Although location convenient near Earl's Court station is strange. Park Grand London Kensington is a beautiful gem in central London. The room was clean and the bed comfortable. The staff were friendly and helpful. The restaurant was the cheapest of our meals during our trip. We strongly recommend this place for the stay in London. - Perfekt the staff at the reception are wonderful. The Park Grand London Kensington is a great location and a great hotel. The staff are friendly and friendly and the rooms are very comfortable. The view is amazing and the ubication is 10/10, its 5 min walking from an underground station so it was really wasy to move around london. ghly recommend it. It's a great book. I love it. I can't get enough of it. You should read it. If you haven't yet, you should. I'll be back in a few days with a review of the next book in the series."
The Chesterfield Mayfair,"The Chesterfield Mayfair is located in the heart of London's Mayfair neighborhood. The hotel is a classically decorated hotel, located in a prime location. The restaurant and bar are exceptional, as is the service and attention to detail. The staff at the hotel were always extremely pleasant, welco. The Chesterfield Mayfair is the place to stay for Christmas in London. The rooms are very clean, spacious by London standards, the food at the restaurant, room service, and in the bar are superb. The afternoon tea is a must do while in London as well. The Chesterfield Mayfair is London's Finest for Accommodation, Service and Going Above and Beyond. We have stayed at the Chesterfield many times over the past 20 years and have always found their accommodations and service to be top notch. The staff are always happy to help with special requests to make one's stay more comfortable. The Chesterfield is one of the best hotels in London. The staff are welcoming and friendly. The tea experience is delightful for teenagers and adult. The food is delicious and there are a number of teas to choose from. Don't be put off by the price as the experience and food are worth it. Chesterfield Mayfair is a boutique hotel in a prime location in Mayfair. The warm, friendly service of the entire staff was outstanding. Head Concierge Darren Briggs was a particular standout. The morning breakfast from the extensive menu was - Perfect Perfect for a trip with the girls. The rooms were beyond expectations. Chesterfield Mayfair is elegant, classic London, immaculate, warm and inviting. Rooms are very clean and well equipped with the best tub soak ever after a long day of touring the city. On-site amenities such as the classic bar area with live entertainment (music, singing) nightly. The Chesterfield Mayfair is one of the best hotels to stay in London. The hotel is located in the heart of Mayfair, a popular shopping district. The staff at the hotel are friendly, helpful and went out of their way to assist us. We would stay here again because of the wonderful staff. ifferent to the traditional afternoon tea. Our servers were very attentive and had a wonderful sense of humour. A very nice touch at the end was a bag of sweets which we could select ourselves to take home. I -  I - I was very impressed with the service."
Leonardo Royal Hotel London Tower Bridge,"Hotel leonardo royal city london is located close to Tower Bridge and 3-4 mins walk from Tower Hill Underground station. Hotel offers free use of the leisure club in the basement. Spa day is great with pool, stream room and sauna which you are able to use throughout your stay. Staff at Leo restaurant were amazing and really helpful. The food was delicious, and the staff, particularly our waiter Kazi, was incredibly kind, making our dinner truly special. The VIP lounge is well worth a visit with free drink and food for 2 hours which includes cocktails. The Leonardo Hotel, Tower Hill, London, is a top rated hotel. The hotel has a spa and a top-class restaurant. The restaurant was great and the hotel staff was professional and courteous. The bar staff, Shajib, was so helpful in explaining the options on the menu. The hotel is very nice, comfortable, clean, and modern. Our favorite aspect was the 2 wonderful mixologists at the bar. The hotel room is lovely and spa facilities were great. Only let down was the food which was a shame as we had such a nice lunch. The hotel claims to be a non-smoking hotel but obviously the staff doesn't care at all. On the entire second floor there was an extreme smell of weed two nights in a row - finally also in our room. Christmas dinner (buffet) was far from what we expected and certainly not worth the price. The Leonardo is a five-star hotel in central London. The rooms have robes, slippers, complimentary Nespresso coffee, teas, still and sparkling water, cookies, nightly chocolate chip cookies and more. The hotel was great and staff were very friendly. Xmas Dinner was very limited which was disappointing."
Travelodge London Docklands Central,"The hotel is near the Excel where the Mamma Mia weekend was held. The views from the upper floors across the Thames are stunning. The staff are friendly and professional, the rooms are clean and equipped to a high standard. There isn't much parking, luckily we managed to get the last space available. The bed was hard as a brick! It hurt my back almost instantly, I didn't sleep well and after returning from there last night I am still very sore today. We'll have to stick to Premier Inn from now on, the extra cost is worth it. The hotel was clean and modern and the few staff we encountered were friendly. The view is absolutely breathtaking and I’ve not had a proper good night’s sleep in ages before today. The food options for an evening meal and breakfast were plenty, and very tasty. The staff were one of the most helpful hotel staff I have ever met. Hotel was good value and in a great location for the O2, however the room smelt of sewerage and was very cold. The reception staff were extremely friendly and helpful and the bed in our room was very comfortable  - Excellent hotel and team. The hotel facilities were great, it was very clean and very well maintained, with drinks and food available at reasonable prices. Travelodge London Docklands has a great location and great rooms. Family room very clean and comfortable, with kingsize bed plus 2 singles (slightly narrow, but OK). AMAZING view over the river towards the city. Tea-coffee re-stocked in bedroom on request. Breakfast not worth having, as not very well stocked. The hotel is located in central London. The hotel is one of the most expensive in the capital. The rooms are very cramped and the bathroom is smelly. The staff were exceptional. The bar/cafe stays open till late and the staff were great. The food was very good and the service was excellent."
"The Clermont London, Charing Cross","One night to celebrate a birthday and visit the theatre. A lovely room with a very comfortable bed and plenty of pillows. Big fluffy towels in the bathroom. Nice to have both tea facilities and a pod coffee machine in the room. We were staying to celebrate my wife's birthday and my wife was pleasantly surprised by the birthday message, cake and balloons in the hotel. The Clermont is located on the Embankment, near Charing Cross. The hotel has rich and historic architecture, high ceilings, large Georgian windows, swooping brass stair case, tastefully decorated for Christmas. The food was excellent and very reasonably priced and the outlook was fantastic. Booking system is borked, support staff mostly unhelpful. The Claremont - Charing Cross was the ideal property for our visit. The hotel was centrally located  on The Strand with very nice rooms and just the right amenities. The service we received was charming and quietly efficient and the food we enjoyed was exquisite without exception. The Clermont Charing Cross, London, was the perfect hotel for first time travelers to London. It was steps away from Trafalgar Square, two Tube locations were literally on the property, and rail service was in the bottom of the hotel. The staff were kind and accommodating and the entire hotel was EXTREMELY clean. The hotel is located in the heart of central London. It is a short journey by tube from Victoria station to Charring Cross. The location is perfect for Central London bars, restaurants, etc... Will most likely be back next year for the annual Christmas party. Highly recommend this hotel. The room, bar, restaurant and breakfast were all exceptional. Staff friendly and accommodating. Rooms clean and comfortable. Love the goodies filled in the candy dish. The only reason for 4 stars, rather than 5, has to do with temperature control, loudness,  and special requests. The Clermont is my hotel of choice when I need to stay in London on business. It is in a really good location, and the rooms are clean, quiet and comfortable. Super conveniently located for walking to just about all sites to visit or there’s a tube station is right next door and another line just down the street. The Clermont Hotel is located next to the Charing Cross station. The hotel is beautifully decorated both their permanent and holiday decor were equally tasteful. The staff were attuned to any request we may have had and were very responsive and attentive. We will definitely stay at the Clermon in the future."
Travelodge London Covent Garden,"Hotel is in the heart of London and everything is in walking distance. Restaurant was closed & hotel is in middle of a Refurb. Room was small and did not have a phone to contact reception, or a hairdryer. Disabled hand rail was broken in the bathroom. Hotel being renovated and breakfast facilities closed. No bar or cafe so we were charged full amount for just a room. Hotel was  cold, room heating not working. Room was tiny and hotel a building site..  Got refunded for lack of breakfast but I would never have booked if I knew there was no facilities,  then not allowed to change to another hotel. Never again. Hotel is perfectly situated on Drury Lane for those wanting to visit the theatres or central London. Rooms are clean and reasonably sized. Bar and food facilities were unavailable due to rener actions - pity they didn't notify us of this when we booked only one week before our visit. Hotel is in a prime location within easy walking distance of Covent Garden, Piccadilly, Leicester Square and Seven Dials market. Staff were friendly and helpful, but the bathroom smelled of a public toilet or sewage. No water bottles provided, normally there are water bottles offered. Hotel is close to Covent Garden, Tube stations and Cambridge theatre. Staff were friendly and it was realtively clean, but the bathroom was tiny. Currently undergoing rénovations, which I understand but still full price. No breakfast or dinner options, noise outside, confusing walk ways. Overnight stay perfect for theatreland. Walking distance to everything (Holborn Station, downtown, and a lot of coffee shop). There is also a BK shop crossed to the hotel name Cafe Verona, it's very friendly and great price. The staff were outstanding in their customer care."
Travelodge London Central Kings Cross,"The hotel is in a great location and is good value for money. Family rooms are located on the noisy side, so you will frequently hear the trains throughout the night. The staff especially Bee was so kind and helpful! Helpful that they let us store luggage as we had a meeting to attend. Hotel is located close to Kings Cross and St Pancras stations. Good location but noisy air con outside window made it hard to get to sleep (had to use ear plugs) and poor sluggish wifi (which I had to pay for) - Lovely Stay :)The hotel is located in a good area close to the station and other places to go, the room was really nice, we had a comfortable stay. Location is fantastic, all of the staff were lovely, the room was what we needed, but when I got into the shower I found there was no shower gel in the dispenser, at this point I could not go down to the front desk without having to dry off, get dressed and shower again, so had a thoroughly disappointing shower. Think twice before booking. Staff are lovely, very friendly and helpful. It’s in a great location, easy to catch the trains or buses, we had an excellent stay. Would stay here again if I needed to be near King's Cross. Would definitely come again and recommend to anyone coming soon. Emily and Andrew were the best hostesses I’ve ever experienced. Full of kindness and understanding difficult situations. Service was excellent when solving a problem, and I would definitely consider staying here again next time I'm in London. Beds were comfortable. Would have liked cooked breakfast but not available."
"Wilde Aparthotels, London, Aldgate Tower Bridge","Wilde Aparthotels is a wonderful options for those looking into an affordable, convenient, and comfortable stay while visiting London. The staff was always available and very accommodating. The hotel itself was very clean, with facilities like a gym and laundry room offered. We enjoyed the 24/7 drink offerings as well. The rooms at the top have a lovely view. The Staff were friendly and helpful and the Beds were comfortable. Nearest train station about 10 min walk  - Loved it!I really loved the stay at the hotel. Free drinks and snacks were included and the staff was really friendly. I can really recommend this hotel.  Wilde Aparthotel is located just a short walk from Aldgate East station. The hotel is located in a nice area with plenty of great food spots for breakfast, brunch, lunch or even dinner. The staff are very hospitable. The rooms are very comfortable and the service is outstanding. The hotel is close to Aldgate East tube and a 15 minute walk to Whitechapel and the superfast Elizabeth Line. The location was great, with Brick Lane and trendy Spitalfields Market close by. The staff were constantly friendly and helpful, we were warmly looked after. The hotel has it all, on one of the best bus routes in London it gives easy access to the tourist spots. All staff encountered were very friendly and always ensured everyone is greeted. The only issue was the dishwasher was loud, otherwise we well enjoyed our stay. The room was spacious and clean, very nice modern design. The hotel is located in the city centre which contributes to the great accessibility of all sort of transportation. The hotel staffs are kind and attentive to all your demands, the service is at a high quality in all aspects. The manager even took time to have a chat with us and made us a cup of coffee."
Travelodge London Excel,"Pleasant stay would stay again. Bathrooms should be cleaned daily even if towels are cleaned every 6 days. extra beds were very narrow. not a lot of noise except for the airplanes. Breakfast is very basic and seemed expensive. and did not like 2 device limit on the wifi which we bought separately. Food and drinks very nice. Rooms very modern,clean,warm and comfy  - Great stayFriendly staff, nice food. The breakfast was nice, only comment is the bacon was under cooked. The room was clean. Easy tube ride to Stratford.elcoming!Decent place with great staff. The hotel is conveniently located for access to the City Airport and all major parts of central London. The rooms are very comfortable. The bar and cafe are very reasonable for this part of London. Good value, friendly reception team. A good team. Welcoming and excellent service. The care and welcoming is outstanding and they make sure that their guests are well made to feel special. Room was tidy and accommodating for my short stay. Would definitely come again and recommend to all my friends and family. - Anna & Maria top tier. Both very helpful with information on places to go. The facilities were very clean and tidy, and all staff seemed very friendly. The walk from the Excel to the hotel was dreadful, under a bypass, past old mattresses and pushchairs. The hotel downstairs was clean but the room was smelly and the bathroom unclean."
